x,y,value,group,label,facet,source,target,weight,lower,upper
3.8,4.4,4.4,,item_68,,3.8,4.4,4.4,-76.20307080516667,85.00307080516669
0.0,0.0,0.0,,item_69,,0.0,0.0,0.0,-80.60307080516668,80.60307080516668
0.4,0.3,0.3,,item_70,,0.4,0.3,0.3,-80.30307080516668,80.90307080516668
39.7,101.6,101.6,,item_71,,39.7,101.6,101.6,20.996929194833314,182.20307080516667
6.2,33.0,33.0,,item_72,,6.2,33.0,33.0,-47.60307080516668,113.60307080516668
115.9,196.5,196.5,,item_73,,115.9,196.5,196.5,115.89692919483332,277.1030708051667
22.4,38.0,38.0,,item_74,,22.4,38.0,38.0,-42.60307080516668,118.60307080516668
57.3,70.3,70.3,,item_75,,57.3,70.3,70.3,-10.303070805166683,150.9030708051667
1.4,0.3,0.3,,item_76,,1.4,0.3,0.3,-80.30307080516668,80.90307080516668
2.9,0.4,0.4,,item_77,,2.9,0.4,0.4,-80.20307080516667,81.00307080516669
55.1,48.5,48.5,,item_78,,55.1,48.5,48.5,-32.10307080516668,129.10307080516668
308.5,300.3,300.3,,item_79,,308.5,300.3,300.3,219.69692919483333,380.9030708051667
6.7,4.3,4.3,,item_80,,6.7,4.3,4.3,-76.30307080516668,84.90307080516668
2.9,1.9,1.9,,item_81,,2.9,1.9,1.9,-78.70307080516667,82.50307080516669
2.4,1.6,1.6,,item_82,,2.4,1.6,1.6,-79.00307080516669,82.20307080516667
62.3,44.2,44.2,,item_83,,62.3,44.2,44.2,-36.40307080516668,124.80307080516668
1.9,2.7,2.7,,item_84,,1.9,2.7,2.7,-77.90307080516668,83.30307080516668
25.8,18.9,18.9,,item_85,,25.8,18.9,18.9,-61.70307080516668,99.50307080516669
86.7,169.3,169.3,,item_86,,86.7,169.3,169.3,88.69692919483333,249.9030708051667
17.8,21.1,21.1,,item_87,,17.8,21.1,21.1,-59.50307080516668,101.70307080516667
8.5,2.6,2.6,,item_88,,8.5,2.6,2.6,-78.00307080516669,83.20307080516667
63.6,72.8,72.8,,item_89,,63.6,72.8,72.8,-7.8030708051666835,153.4030708051667
1.0,0.5,0.5,,item_90,,1.0,0.5,0.5,-80.10307080516668,81.10307080516668
20.9,19.6,19.6,,item_91,,20.9,19.6,19.6,-61.00307080516668,100.20307080516667
19.8,7.7,7.7,,item_92,,19.8,7.7,7.7,-72.90307080516668,88.30307080516668
45.6,47.5,47.5,,item_93,,45.6,47.5,47.5,-33.10307080516668,128.10307080516668
330.0,129.8,129.8,,item_94,,330.0,129.8,129.8,49.19692919483333,210.4030708051667
0.1,0.0,0.0,,item_95,,0.1,0.0,0.0,-80.60307080516668,80.60307080516668
104.9,40.7,40.7,,item_96,,104.9,40.7,40.7,-39.90307080516668,121.30307080516668
46.7,40.4,40.4,,item_97,,46.7,40.4,40.4,-40.20307080516668,121.00307080516669
9.2,11.0,11.0,,item_98,,9.2,11.0,11.0,-69.60307080516668,91.60307080516668
521.3,884.8,884.8,,item_99,,521.3,884.8,884.8,804.1969291948333,965.4030708051666
8.2,2.1,2.1,,item_100,,8.2,2.1,2.1,-78.50307080516669,82.70307080516667
42.5,50.8,50.8,,item_101,,42.5,50.8,50.8,-29.803070805166683,131.4030708051667
0.1,0.0,0.0,,item_102,,0.1,0.0,0.0,-80.60307080516668,80.60307080516668
38.6,21.6,21.6,,item_103,,38.6,21.6,21.6,-59.00307080516668,102.20307080516667
9.7,13.6,13.6,,item_104,,9.7,13.6,13.6,-67.00307080516669,94.20307080516667
4.6,1.1,1.1,,item_105,,4.6,1.1,1.1,-79.50307080516669,81.70307080516667
169.3,162.7,162.7,,item_106,,169.3,162.7,162.7,82.09692919483331,243.30307080516667
10.2,8.1,8.1,,item_107,,10.2,8.1,8.1,-72.50307080516669,88.70307080516667
2.7,1.1,1.1,,item_108,,2.7,1.1,1.1,-79.50307080516669,81.70307080516667
4.6,10.7,10.7,,item_109,,4.6,10.7,10.7,-69.90307080516668,91.30307080516668
26.0,15.6,15.6,,item_110,,26.0,15.6,15.6,-65.00307080516669,96.20307080516667
14.7,6.1,6.1,,item_111,,14.7,6.1,6.1,-74.50307080516669,86.70307080516667
22.6,16.5,16.5,,item_112,,22.6,16.5,16.5,-64.10307080516668,97.10307080516668
11.4,8.7,8.7,,item_113,,11.4,8.7,8.7,-71.90307080516668,89.30307080516668
46.3,44.9,44.9,,item_114,,46.3,44.9,44.9,-35.70307080516668,125.50307080516669
26.3,49.4,49.4,,item_115,,26.3,49.4,49.4,-31.203070805166682,130.0030708051667
47.9,6.4,6.4,,item_116,,47.9,6.4,6.4,-74.20307080516667,87.00307080516669
0.9,1.1,1.1,,item_117,,0.9,1.1,1.1,-79.50307080516669,81.70307080516667
12.3,7.5,7.5,,item_118,,12.3,7.5,7.5,-73.10307080516668,88.10307080516668
15.4,17.6,17.6,,item_119,,15.4,17.6,17.6,-63.00307080516668,98.20307080516667
8.2,1.9,1.9,,item_120,,8.2,1.9,1.9,-78.70307080516667,82.50307080516669
2.1,1.2,1.2,,item_121,,2.1,1.2,1.2,-79.40307080516668,81.80307080516668
67.8,38.5,38.5,,item_122,,67.8,38.5,38.5,-42.10307080516668,119.10307080516668
7.5,0.9,0.9,,item_123,,7.5,0.9,0.9,-79.70307080516667,81.50307080516669
150.4,233.2,233.2,,item_124,,150.4,233.2,233.2,152.5969291948333,313.80307080516667
2.0,0.4,0.4,,item_125,,2.0,0.4,0.4,-80.20307080516667,81.00307080516669
37.3,16.2,16.2,,item_126,,37.3,16.2,16.2,-64.40307080516668,96.80307080516668
17.6,19.3,19.3,,item_127,,17.6,19.3,19.3,-61.30307080516668,99.90307080516668
